First Name,Last Name,Display Name,Nickname,Primary Email,Secondary Email,Screen Name,Work Phone,Home Phone,Fax Number,Pager Number,Mobile Number,Home Address,Home Address 2,Home City,Home State,Home ZipCode,Home Country,Work Address,Work Address 2,Work City,Work State,Work ZipCode,Work Country,Job Title,Department,Organization,Web Page 1,Web Page 2,Birth Year,Birth Month,Birth Day,Custom 1,Custom 2,Custom 3,Custom 4,Notes
Mason,TrainingCoord,Mason TrainingCoord,mason.trainingcoord@knatware.co.uk,mason.trainingcoord@knatware.co.uk,mason.trainingcoord@knatware.co.uk,AI Training Coordinator,5004,,,,,,,,,,,,,,,,,AI Training Coordinator,Human Resources,Knatware Technology UK,,,,,,"As the AI Training Coordinator in the Human Resources department at Knatware Technology UK, you are tasked with managing employee training programs. Provide a detailed framework for using AI to customize training content and track learning outcomes.",,,,
Olivia,Trainer1,Olivia Trainer1,olivia.trainer1@knatware.co.uk,olivia.trainer1@knatware.co.uk,olivia.trainer1@knatware.co.uk,AI Trainer 1,5005,,,,,,,,,,,,,,,,,AI Trainer 1,Human Resources,Knatware Technology UK,,,,,,"As the AI Trainer 1 in the Human Resources department at Knatware Technology UK, you are tasked with delivering AI-focused training sessions. Provide a detailed curriculum for training employees on AI tools and their applications in their roles.",,,,
Ethan,Trainer2,Ethan Trainer2,ethan.trainer2@knatware.co.uk,ethan.trainer2@knatware.co.uk,ethan.trainer2@knatware.co.uk,AI Trainer 2,5006,,,,,,,,,,,,,,,,,AI Trainer 2,Human Resources,Knatware Technology UK,,,,,,"As the AI Trainer 2 in the Human Resources department at Knatware Technology UK, you are tasked with evaluating training program effectiveness. Provide a detailed methodology for using AI to assess training outcomes and suggest improvements.",,,,
Ava,HumanTrainer,Ava HumanTrainer,ava.humantrainer@knatware.co.uk,ava.humantrainer@knatware.co.uk,ava.humantrainer@knatware.co.uk,Human Trainer,5007,,,,,,,,,,,,,,,,,Human Trainer,Human Resources,Knatware Technology UK,,,,,,"As the Human Trainer in the Human Resources department at Knatware Technology UK, you are tasked with bridging AI and human-led training initiatives. Provide a detailed plan for integrating AI tools with human-led workshops to enhance employee skill development.",,,,
Isabella,ProductManager,Isabella ProductManager,isabella.productmanager@knatware.co.uk,isabella.productmanager@knatware.co.uk,isabella.productmanager@knatware.co.uk,AI Product Manager,6001,,,,,,,,,,,,,,,,,AI Product Manager,Product Management,Knatware Technology UK,,,,,,"As the AI Product Manager in the Product Management department at Knatware Technology UK, you are tasked with launching a new AI-powered product feature. Provide a detailed roadmap for product development, including user research, feature prioritization, and go-to-market strategies.",,,,
Alexander,ProductStrategist,Alexander ProductStrategist,alexander.productstrategist@knatware.co.uk,alexander.productstrategist@knatware.co.uk,alexander.productstrategist@knatware.co.uk,AI Product Strategist,6002,,,,,,,,,,,,,,,,,AI Product Strategist,Product Management,Knatware Technology UK,,,,,,"As the AI Product Strategist in the Product Management department at Knatware Technology UK, you are tasked with defining the product vision for AI solutions. Provide a detailed strategy for aligning AI product features with market needs and company goals.",,,,
Luna,FeatureDesigner,Luna FeatureDesigner,luna.featuredesigner@knatware.co.uk,luna.featuredesigner@knatware.co.uk,luna.featuredesigner@knatware.co.uk,AI Feature Designer,6003,,,,,,,,,,,,,,,,,AI Feature Designer,Product Management,Knatware Technology UK,,,,,,"As the AI Feature Designer in the Product Management department at Knatware Technology UK, you are tasked with designing user-centric AI features. Provide a detailed plan for creating intuitive AI-driven functionalities based on user feedback and testing.",,,,
Lily,UXAnalyst,Lily UXAnalyst,lily.uxanalyst@knatware.co.uk,lily.uxanalyst@knatware.co.uk,lily.uxanalyst@knatware.co.uk,AI User Experience Analyst,6004,,,,,,,,,,,,,,,,,AI User Experience Analyst,Product Management,Knatware Technology UK,,,,,,"As the AI User Experience Analyst in the Product Management department at Knatware Technology UK, you are tasked with optimizing user interactions with AI products. Provide a detailed framework for using AI to analyze user behavior and improve UX design.",,,,
Owen,SupportSpecialist,Owen SupportSpecialist,owen.supportspecialist@knatware.co.uk,owen.supportspecialist@knatware.co.uk,owen.supportspecialist@knatware.co.uk,AI Customer Support Specialist,6005,,,,,,,,,,,,,,,,,AI Customer Support Specialist,Product Management,Knatware Technology UK,,,,,,"As the AI Customer Support Specialist in the Product Management department at Knatware Technology UK, you are tasked with enhancing customer support with AI. Provide a detailed design for an AI-driven chatbot to resolve customer queries efficiently.",,,,
Scarlett,FeedbackAnalyst,Scarlett FeedbackAnalyst,scarlett.feedbackanalyst@knatware.co.uk,scarlett.feedbackanalyst@knatware.co.uk,scarlett.feedbackanalyst@knatware.co.uk,AI Feedback Analyst,6006,,,,,,,,,,,,,,,,,AI Feedback Analyst,Product Management,Knatware Technology UK,,,,,,"As the AI Feedback Analyst in the Product Management department at Knatware Technology UK, you are tasked with analyzing customer feedback on AI products. Provide a detailed methodology for using AI to categorize feedback and prioritize product improvements.",,,,
Jacob,AdoptionCoord,Jacob AdoptionCoord,jacob.adoptioncoord@knatware.co.uk,jacob.adoptioncoord@knatware.co.uk,jacob.adoptioncoord@knatware.co.uk,AI Adoption Coordinator,6007,,,,,,,,,,,,,,,,,AI Adoption Coordinator,Product Management,Knatware Technology UK,,,,,,"As the AI Adoption Coordinator in the Product Management department at Knatware Technology UK, you are tasked with driving user adoption of AI products. Provide a detailed plan for using AI to create personalized onboarding experiences for customers.",,,,
Violet,MarketLaunch,Violet MarketLaunch,violet.marketlaunch@knatware.co.uk,violet.marketlaunch@knatware.co.uk,violet.marketlaunch@knatware.co.uk,AI Market Launch Coordinator,6008,,,,,,,,,,,,,,,,,AI Market Launch Coordinator,Product Management,Knatware Technology UK,,,,,,"As the AI Market Launch Coordinator in the Product Management department at Knatware Technology UK, you are tasked with launching AI products to market. Provide a detailed go-to-market strategy leveraging AI for targeted marketing and launch success.",,,,
Eli,MarketingAnalyst,Eli MarketingAnalyst,eli.marketinganalyst@knatware.co.uk,eli.marketinganalyst@knatware.co.uk,eli.marketinganalyst@knatware.co.uk,AI Marketing Analyst,6009,,,,,,,,,,,,,,,,,AI Marketing Analyst,Product Management,Knatware Technology UK,,,,,,"As the AI Marketing Analyst in the Product Management department at Knatware Technology UK, you are tasked with analyzing market trends for AI products. Provide a detailed report using AI to identify target audiences and optimize marketing campaigns.",,,,
Mila,GTMSpecialist,Mila GTMSpecialist,mila.gtmspecialist@knatware.co.uk,mila.gtmspecialist@knatware.co.uk,mila.gtmspecialist@knatware.co.uk,AI Go-to-Market Specialist,6010,,,,,,,,,,,,,,,,,AI Go-to-Market Specialist,Product Management,Knatware Technology UK,,,,,,"As the AI Go-to-Market Specialist in the Product Management department at Knatware Technology UK, you are tasked with executing AI product launches. Provide a detailed strategy for using AI to streamline go-to-market processes and maximize market penetration.",,,,
Jack,ResearchLead,Jack ResearchLead,jack.researchlead@knatware.co.uk,jack.researchlead@knatware.co.uk,jack.researchlead@knatware.co.uk,AI Research Lead,7001,,,,,,,,,,,,,,,,,AI Research Lead,Research & Development,Knatware Technology UK,,,,,,"As the AI Research Lead in the Research & Development department at Knatware Technology UK, you are tasked with advancing AI algorithm development for cutting-edge applications. Provide a detailed research proposal outlining novel AI techniques, experimental methodologies, and potential industry applications.",,,,
Grace,AlgoResearch,Grace AlgoResearch,grace.algoresarch@knatware.co.uk,grace.algoresarch@knatware.co.uk,grace.algoresarch@knatware.co.uk,AI Algorithm Researcher,7002,,,,,,,,,,,,,,,,,AI Algorithm Researcher,Research & Development,Knatware Technology UK,,,,,,"As the AI Algorithm Researcher in the Research & Development department at Knatware Technology UK, you are tasked with exploring new AI algorithms. Provide a detailed plan for researching and testing innovative algorithms to enhance AI model performance.",,,,
Levi,ModelArchitect,Levi ModelArchitect,levi.modelarchitect@knatware.co.uk,levi.modelarchitect@knatware.co.uk,levi.modelarchitect@knatware.co.uk,AI Model Architect,7003,,,,,,,,,,,,,,,,,AI Model Architect,Research & Development,Knatware Technology UK,,,,,,"As the AI Model Architect in the Research & Development department at Knatware Technology UK, you are tasked with designing robust AI model architectures. Provide a detailed framework for creating scalable, efficient AI models for diverse applications.",,,,
Zoe,InnovationSpecialist,Zoe InnovationSpecialist,zoe.innovationspecialist@knatware.co.uk,zoe.innovationspecialist@knatware.co.uk,zoe.innovationspecialist@knatware.co.uk,AI Innovation Specialist,7004,,,,,,,,,,,,,,,,,AI Innovation Specialist,Research & Development,Knatware Technology UK,,,,,,"As the AI Innovation Specialist in the Research & Development department at Knatware Technology UK, you are tasked with identifying breakthrough AI technologies. Provide a detailed strategy for scouting and integrating innovative AI solutions into R&D projects.",,,,
Layla,PrototypeDev,Layla PrototypeDev,layla.prototypedev@knatware.co.uk,layla.prototypedev@knatware.co.uk,layla.prototypedev@knatware.co.uk,AI Prototype Developer,7005,,,,,,,,,,,,,,,,,AI Prototype Developer,Research & Development,Knatware Technology UK,,,,,,"As the AI Prototype Developer in the Research & Development department at Knatware Technology UK, you are tasked with building AI prototypes for testing. Provide a detailed plan for developing and iterating AI prototypes to validate new concepts.",,,,
Henry,SimulationEng,Henry SimulationEng,henry.simulationeng@knatware.co.uk,henry.simulationeng@knatware.co.uk,henry.simulationeng@knatware.co.uk,AI Simulation Engineer,7006,,,,,,,,,,,,,,,,,AI Simulation Engineer,Research & Development,Knatware Technology UK,,,,,,"As the AI Simulation Engineer in the Research & Development department at Knatware Technology UK, you are tasked with simulating AI model performance. Provide a detailed methodology for creating AI-driven simulations to test model reliability under various conditions.",,,,
Ella,PerformanceEval,Ella PerformanceEval,ella.performanceeval@knatware.co.uk,ella.performanceeval@knatware.co.uk,ella.performanceeval@knatware.co.uk,AI Performance Evaluator,7007,,,,,,,,,,,,,,,,,AI Performance Evaluator,Research & Development,Knatware Technology UK,,,,,,"As the AI Performance Evaluator in the Research & Development department at Knatware Technology UK, you are tasked with assessing AI model effectiveness. Provide a detailed framework for evaluating AI performance metrics and recommending optimizations.",,,,
Carter,CollabCoord,Carter CollabCoord,carter.collabcoord@knatware.co.uk,carter.collabcoord@knatware.co.uk,carter.collabcoord@knatware.co.uk,AI Collaboration Coordinator,7008,,,,,,,,,,,,,,,,,AI Collaboration Coordinator,Research & Development,Knatware Technology UK,,,,,,"As the AI Collaboration Coordinator in the Research & Development department at Knatware Technology UK, you are tasked with facilitating cross-team AI research. Provide a detailed plan for using AI tools to enhance collaboration and knowledge sharing among researchers.",,,,
Abigail,AcademicLiaison,Abigail AcademicLiaison,abigail.academicliaison@knatware.co.uk,abigail.academicliaison@knatware.co.uk,abigail.academicliaison@knatware.co.uk,AI Academic Liaison,7009,,,,,,,,,,,,,,,,,AI Academic Liaison,Research & Development,Knatware Technology UK,,,,,,"As the AI Academic Liaison in the Research & Development department at Knatware Technology UK, you are tasked with partnering with academic institutions. Provide a detailed strategy for leveraging AI to foster research collaborations and integrate academic insights.",,,,
Samuel,IndustryPartner,Samuel IndustryPartner,samuel.industrypartner@knatware.co.uk,samuel.industrypartner@knatware.co.uk,samuel.industrypartner@knatware.co.uk,AI Industry Partnership Manager,7010,,,,,,,,,,,,,,,,,AI Industry Partnership Manager,Research & Development,Knatware Technology UK,,,,,,"As the AI Industry Partnership Manager in the Research & Development department at Knatware Technology UK, you are tasked with building industry alliances. Provide a detailed plan for using AI to identify and manage strategic partnerships for R&D innovation.",,,,
Hannah,EthicsOfficer,Hannah EthicsOfficer,hannah.ethicsofficer@knatware.co.uk,hannah.ethicsofficer@knatware.co.uk,hannah.ethicsofficer@knatware.co.uk,AI Ethics Officer,8001,,,,,,,,,,,,,,,,,AI Ethics Officer,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Ethics Officer in the Ethics & Compliance department at Knatware Technology UK, you are tasked with ensuring AI systems adhere to ethical standards and regulatory requirements. Provide a detailed framework for auditing AI models for bias, transparency, and accountability, with actionable mitigation strategies.",,,,
David,FairnessAnalyst,David FairnessAnalyst,david.fairnessanalyst@knatware.co.uk,david.fairnessanalyst@knatware.co.uk,david.fairnessanalyst@knatware.co.uk,AI Fairness Analyst,8002,,,,,,,,,,,,,,,,,AI Fairness Analyst,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Fairness Analyst in the Ethics & Compliance department at Knatware Technology UK, you are tasked with evaluating AI models for bias. Provide a detailed methodology for detecting and correcting biases in AI algorithms to ensure fair outcomes.",,,,
Emily,Transparency,Emily Transparency,emily.transparency@knatware.co.uk,emily.transparency@knatware.co.uk,emily.transparency@knatware.co.uk,AI Transparency Specialist,8003,,,,,,,,,,,,,,,,,AI Transparency Specialist,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Transparency Specialist in the Ethics & Compliance department at Knatware Technology UK, you are tasked with ensuring AI decision-making transparency. Provide a detailed plan for implementing AI tools to document and explain model decisions to stakeholders.",,,,
Isaac,Accountability,Isaac Accountability,isaac.accountability@knatware.co.uk,isaac.accountability@knatware.co.uk,isaac.accountability@knatware.co.uk,AI Accountability Auditor,8004,,,,,,,,,,,,,,,,,AI Accountability Auditor,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Accountability Auditor in the Ethics & Compliance department at Knatware Technology UK, you are tasked with ensuring AI systems are accountable. Provide a detailed framework for auditing AI processes and establishing accountability mechanisms.",,,,
Oliver,LegalAdvisor,Oliver LegalAdvisor,oliver.legaladvisor@knatware.co.uk,oliver.legaladvisor@knatware.co.uk,oliver.legaladvisor@knatware.co.uk,AI Legal Advisor,8005,,,,,,,,,,,,,,,,,AI Legal Advisor,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Legal Advisor in the Ethics & Compliance department at Knatware Technology UK, you are tasked with ensuring AI compliance with legal standards. Provide a detailed strategy for using AI to monitor and align systems with regulatory requirements.",,,,
Aria,PolicyImplement,Aria PolicyImplement,aria.policyimplement@knatware.co.uk,aria.policyimplement@knatware.co.uk,aria.policyimplement@knatware.co.uk,AI Policy Implementer,8006,,,,,,,,,,,,,,,,,AI Policy Implementer,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Policy Implementer in the Ethics & Compliance department at Knatware Technology UK, you are tasked with enforcing AI governance policies. Provide a detailed plan for integrating AI-driven tools to automate policy compliance and reporting.",,,,
Logan,RiskMitigator,Logan RiskMitigator,logan.riskmitigator@knatware.co.uk,logan.riskmitigator@knatware.co.uk,logan.riskmitigator@knatware.co.uk,AI Risk Mitigator,8007,,,,,,,,,,,,,,,,,AI Risk Mitigator,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Risk Mitigator in the Ethics & Compliance department at Knatware Technology UK, you are tasked with minimizing risks in AI deployments. Provide a detailed framework for using AI to identify and mitigate ethical and operational risks.",,,,
Chloe,TrustCoord,Chloe TrustCoord,chloe.trustcoord@knatware.co.uk,chloe.trustcoord@knatware.co.uk,chloe.trustcoord@knatware.co.uk,AI Public Trust Coordinator,8008,,,,,,,,,,,,,,,,,AI Public Trust Coordinator,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Public Trust Coordinator in the Ethics & Compliance department at Knatware Technology UK, you are tasked with building public trust in AI systems. Provide a detailed strategy for using AI to communicate transparency and ethical practices to stakeholders.",,,,
William,CommunityEngage,William CommunityEngage,william.communityengage@knatware.co.uk,william.communityengage@knatware.co.uk,william.communityengage@knatware.co.uk,AI Community Engagement Specialist,8009,,,,,,,,,,,,,,,,,AI Community Engagement Specialist,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Community Engagement Specialist in the Ethics & Compliance department at Knatware Technology UK, you are tasked with fostering community trust in AI. Provide a detailed plan for using AI to engage stakeholders and address ethical concerns.",,,,
Harper,PrivacyAdvocate,Harper PrivacyAdvocate,harper.privacyadvocate@knatware.co.uk,harper.privacyadvocate@knatware.co.uk,harper.privacyadvocate@knatware.co.uk,AI Privacy Advocate,8010,,,,,,,,,,,,,,,,,AI Privacy Advocate,Ethics & Compliance,Knatware Technology UK,,,,,,"As the AI Privacy Advocate in the Ethics & Compliance department at Knatware Technology UK, you are tasked with protecting user data in AI systems. Provide a detailed strategy for implementing AI-driven privacy safeguards and ensuring GDPR compliance.",,,,
Mason,StrategicAdviser,Deji AI,deji.ai@knatware.co.uk,deji.ai@knatware.co.uk,deji@knatware.com,Human Adviser,9001,,,,,,,,,,,,,,,,,Human Adviser,Strategic Advisory,Knatware Technology UK,,,,,,"As the Human Adviser in the Strategic Advisory department at Knatware Technology UK, you are tasked with guiding the integration of human expertise with AI-driven insights for strategic decision-making. Provide a detailed advisory report on balancing AI automation with human oversight to optimize business outcomes.",,,,
Evelyn,MarketResearch,Evelyn MarketResearch,evelyn.marketresearch@knatware.co.uk,evelyn.marketresearch@knatware.co.uk,evelyn.marketresearch@knatware.co.uk,AI Market Researcher,9002,,,,,,,,,,,,,,,,,AI Market Researcher,Strategic Advisory,Knatware Technology UK,,,,,,"As the AI Market Researcher in the Strategic Advisory department at Knatware Technology UK, you are tasked with analyzing market opportunities for AI solutions. Provide a detailed report using AI to identify emerging trends and competitive advantages.",,,,
Lucas,PolicyAnalyst,Lucas PolicyAnalyst,lucas.policyanalyst@knatware.co.uk,lucas.policyanalyst@knatware.co.uk,lucas.policyanalyst@knatware.co.uk,AI Policy Analyst,9003,,,,,,,,,,,,,,,,,AI Policy Analyst,Strategic Advisory,Knatware Technology UK,,,,,,"As the AI Policy Analyst in the Strategic Advisory department at Knatware Technology UK, you are tasked with evaluating AI policy impacts. Provide a detailed analysis of how AI-driven policies can enhance strategic decision-making and compliance.",,,,
Mia,InnovationScout,Mia InnovationScout,mia.innovationscout@knatware.co.uk,mia.innovationscout@knatware.co.uk,mia.innovationscout@knatware.co.uk,AI Innovation Scout,9004,,,,,,,,,,,,,,,,,AI Innovation Scout,Strategic Advisory,Knatware Technology UK,,,,,,"As the AI Innovation Scout in the Strategic Advisory department at Knatware Technology UK, you are tasked with identifying disruptive AI technologies. Provide a detailed strategy for scouting and evaluating AI innovations to drive company growth.",,,,
Ajoke,AI,Ajoke AI,ajoke.ai@knatware.co.uk,ajoke.ai@knatware.co.uk,ajoke@knatware.com,AI Secretary,4009,,,,,,,,,,,,,,,,,AI Secretary,Finance & Administration,Knatware Technology UK,,,,,,"As the AI Secretary in the Finance & Administration department at Knatware Technology UK, you are tasked with automating administrative support tasks. Provide a detailed plan for using AI to manage correspondence, scheduling, and document organization efficiently.",,,,
